State,Year,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Petroleum,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood
Alaska,1969,261,2417,0,0,0,8769,11073,0,0,25
Alaska,1970,183,2456,0,0,0,8973,12582,0,0,24
Alaska,1971,184,3230,0,0,0,9026,14327,0,0,24
Alaska,1972,264,2545,0,0,0,10429,16088,0,0,22
Alaska,1973,157,3100,0,0,0,9514,12416,0,0,21
Alaska,1974,195,3109,0,0,0,9708,13167,0,0,20
Alaska,1975,205,2923,0,0,0,8749,14483,0,0,27
Alaska,1976,173,3609,0,0,0,8232,14257,0,0,29
Alaska,1977,176,4064,0,0,0,10279,14633,0,0,34
Alaska,1978,0,4783,0,0,0,9947,15189,0,0,38
Alaska,1979,0,1699,0,0,0,3598,15841,0,0,52
Alaska,1980,0,3359,0,0,0,4855,16551,0,0,24
Alaska,1981,6114,3097,0,0,0,4493,16209,0,0,28
Alaska,1982,6531,2799,0,0,136,4924,24210,0,0,24
Alaska,1983,6158,6062,0,0,30,7673,24728,0,0,29
Alaska,1984,6412,7108,0,0,31,8605,24690,0,0,41
Alaska,1985,5386,5247,0,0,14,7045,20466,0,0,44
Alaska,1986,6042,4949,0,0,28242,44916,21074,0,0,50
Alaska,1987,0,5204,0,0,27163,45283,20415,0,0,80
Alaska,1988,0,4745,0,0,1069,8353,20920,0,0,88
Alaska,1989,0,4861,20,0,5,5526,21648,0,0,205
Alaska,1990,6241,6111,20,0,1,6974,20451,0,0,166
Alaska,1991,6530,5649,20,0,1,6743,20937,0,0,174
Alaska,1992,6665,9143,20,0,1,10072,21343,0,0,183
Alaska,1993,7294,10464,20,0,1,10883,19872,0,0,262
Alaska,1994,6977,10660,20,0,1,11010,20719,0,0,251
Alaska,1995,7187,6022,20,0,3,6439,25134,0,0,253
Alaska,1996,6593,6873,20,0,1,8787,27017,0,0,263
Alaska,1997,7092,5512,20,0,2,6122,26903,0,0,303
Alaska,1998,7411,6215,20,0,2,7010,27045,0,0,229
Alaska,1999,7585,7622,36,0,3,8503,27662,0,0,241
Alaska,2000,7262,6722,36,0,2,7424,27201,0,0,258
Alaska,2001,6569,9810,36,0,3,13772,16015,0,0,442
Alaska,2002,6464,7208,36,0,1,8268,15747,0,0,453
Alaska,2003,6081,5423,39,0,2,5956,17338,0,0,498
Alaska,2004,6980,6736,39,0,3,7550,18442,0,0,475
Alaska,2005,7252,5850,41,0,5,7103,16968,0,0,160
Alaska,2006,7920,6769,38,0,1047,9064,18633,0,0,154
Alaska,2007,6649,5675,35,0,603,7504,18867,0,0,146
Alaska,2008,8527,7089,71,0,536,8729,17128,0,0,154
Alaska,2009,8098,6315,74,0,67,7412,16701,0,0,303
Alaska,2010,8533,11111,74,0,92,12575,15998,0,0,299
Alaska,2011,9432,10060,88,0,104,11438,19647,0,0,288
Alaska,2012,9201,8541,85,0,79,9806,20135,0,0,252
Alaska,2013,8939,6743,85,0,27,7965,18711,0,0,292
Alaska,2014,8316,7287,85,0,16,8418,17942,0,0,305
Alaska,2015,8486,8756,85,0,17,10930,18491,0,0,862
Alaska,2016,6952,5951,85,1552,21,7404,15970,5,0,1132
Alaska,2017,7144,6568,85,1678,0,7772,15355,6,0,996
Alaska,2018,6931,7422,85,1599,0,8696,14100,9,0,892
Alaska,2019,6568,7309,85,1161,0,8622,14365,11,0,801
Alabama,1969,1367,1160,0,0,2513,11989,38505,0,0,214
Alabama,1970,1339,1538,0,0,2417,12170,37378,0,0,194
Alabama,1971,1288,1513,0,0,1596,11859,37793,0,0,180
Alabama,1972,1613,2402,0,0,1087,12912,38548,0,0,169
Alabama,1973,1430,2870,0,0,2535,14302,34084,0,0,157
Alabama,1974,577,3379,0,0,1409,12482,36330,0,0,172
Alabama,1975,323,3185,0,0,1370,11843,34406,0,0,201
Alabama,1976,202,5196,0,0,1203,14446,35408,0,0,223
Alabama,1977,470,4703,0,0,1615,14902,35285,0,0,244
Alabama,1978,3353,4211,0,0,2014,13729,30528,0,0,220
Alabama,1979,2944,3842,0,0,1395,10807,37675,0,0,226
Alabama,1980,4331,3734,0,0,998,9347,29480,0,0,406
Alabama,1981,1748,5800,0,0,323,10890,27810,0,0,448
Alabama,1982,2467,1382,0,0,1877,8541,27211,0,0,584
Alabama,1983,2705,5558,0,0,535,10978,27674,0,0,469
Alabama,1984,2812,4399,0,0,77,8294,28473,0,0,634
Alabama,1985,2345,5316,0,0,89,12567,26810,0,0,692
Alabama,1986,2452,4190,0,0,162,12176,26025,0,0,778
Alabama,1987,2560,4191,0,0,277,11785,23119,0,0,736
Alabama,1988,2975,4159,0,0,72,13425,26300,0,0,812
Alabama,1989,1368,5060,0,0,82,13240,27264,0,0,1892
Alabama,1990,2059,4305,0,0,62,12894,24992,0,0,1654
Alabama,1991,336,4312,0,0,85,9653,24353,0,0,1726
Alabama,1992,1759,4522,0,0,99,8118,25941,0,0,1821
Alabama,1993,796,4465,0,0,76,8337,26499,0,0,1707
Alabama,1994,221,5467,0,0,61,9250,26297,0,0,1634
Alabama,1995,154,3748,0,0,54,7602,26993,0,0,1650
Alabama,1996,954,3236,0,0,53,7167,29961,0,0,1714
Alabama,1997,1596,3127,0,0,50,7157,33701,0,0,1098
Alabama,1998,204,3300,0,0,119,6876,26721,0,0,959
Alabama,1999,524,3318,0,0,32,9407,28570,0,0,1008
Alabama,2000,1194,4351,0,0,52,10784,26706,0,0,1079
Alabama,2001,273,4871,0,0,145,10210,27247,0,0,936
Alabama,2002,81,4557,0,0,93,9095,25745,0,0,958
Alabama,2003,61,6352,0,0,138,10249,26106,0,0,998
Alabama,2004,10,6427,0,0,145,10308,27119,0,0,975
Alabama,2005,42,4359,0,0,102,6756,25791,0,0,736
Alabama,2006,570,8894,0,0,57,11761,25067,0,0,683
Alabama,2007,19,7315,0,0,27,9991,24035,0,0,726
Alabama,2008,0,5729,0,0,13,9093,25793,0,0,766
Alabama,2009,0,5642,0,0,8,8077,24946,0,0,941
Alabama,2010,0,6569,0,0,12,9321,27492,3,0,929
Alabama,2011,0,6981,0,0,13,9864,25555,4,0,895
Alabama,2012,0,6471,0,0,5,8752,21896,9,0,784
Alabama,2013,0,4236,0,0,14,6715,25734,25,0,908
Alabama,2014,0,3900,0,0,17,6318,28124,26,0,946
Alabama,2015,0,4327,0,0,13,11215,25856,25,0,311
Alabama,2016,0,4860,0,0,14,13225,24172,48,0,310
Alabama,2017,0,4841,0,0,5,12196,23558,50,0,272
Alabama,2018,0,4950,0,0,12,12801,27359,67,0,306
Alabama,2019,0,4622,0,0,14,12410,25570,88,0,286
Arkansas,1969,0,195,0,0,495,7298,39962,0,0,178
Arkansas,1970,0,231,0,0,512,7459,39326,0,0,157
Arkansas,1971,0,229,0,0,385,7433,30955,0,0,144
Arkansas,1972,0,507,0,0,279,9141,32462,0,0,135
Arkansas,1973,0,536,0,0,829,10725,33720,0,0,123
Arkansas,1974,0,709,0,0,565,12247,30950,0,0,137
Arkansas,1975,0,535,0,0,449,12844,33126,0,0,163
Arkansas,1976,0,633,0,0,419,13508,33872,0,0,182
Arkansas,1977,39,766,0,0,623,12730,34594,0,0,201
Arkansas,1978,75,742,0,0,807,11202,34584,0,0,179
Arkansas,1979,0,1379,0,0,255,10857,33969,0,0,184
Arkansas,1980,113,650,0,0,748,6800,30510,0,0,51
Arkansas,1981,4,1023,0,0,323,4645,28147,0,0,52
Arkansas,1982,39,807,0,0,431,4387,29344,0,0,93
Arkansas,1983,3,8831,0,0,9749,21637,28313,0,0,54
Arkansas,1984,71,6989,0,0,1123,10590,29541,0,0,84
Arkansas,1985,19,4828,0,0,476,7681,27179,0,0,91
Arkansas,1986,0,803,0,0,37,3409,25282,0,0,103
Arkansas,1987,8,1310,0,0,27,3634,24911,0,0,145
Arkansas,1988,2,941,0,0,55,3223,27642,0,0,160
Arkansas,1989,61,1813,4,0,11,4107,27383,0,0,373
Arkansas,1990,4,1738,4,0,8,4049,25321,0,0,345
Arkansas,1991,9,1501,4,0,11,3342,26417,0,0,361
Arkansas,1992,42,1658,4,0,29,3346,25486,0,0,380
Arkansas,1993,16,2074,4,0,29,3690,29362,0,0,650
Arkansas,1994,7,2223,4,0,24,3798,28004,0,0,623
Arkansas,1995,0,1752,4,0,26,3187,29724,0,0,628
Arkansas,1996,0,1692,4,0,30,3126,31823,0,0,653
Arkansas,1997,1,1573,4,0,30,3076,29852,0,0,392
Arkansas,1998,1,2084,4,0,39,3253,28759,0,0,343
Arkansas,1999,1,1515,0,0,22,4229,28397,0,0,360
Arkansas,2000,0,2186,0,0,25,4617,33806,0,0,385
Arkansas,2001,0,3453,0,0,53,6036,32455,0,0,392
Arkansas,2002,1,2598,0,0,23,4966,33731,0,0,401
Arkansas,2003,0,4329,0,0,18,6279,32721,0,0,418
Arkansas,2004,1,2999,0,0,94,6195,30093,0,0,409
Arkansas,2005,0,4157,0,0,115,6101,31822,0,0,899
Arkansas,2006,1,538,0,0,67,2429,32252,0,0,834
Arkansas,2007,24,521,0,0,50,1987,32493,0,0,886
Arkansas,2008,0,591,0,0,49,2954,37245,0,0,935
Arkansas,2009,0,5630,0,0,1,7480,36792,0,0,1353
Arkansas,2010,0,3812,0,0,6,5747,40531,11,0,1336
Arkansas,2011,0,3586,0,0,1,5126,40584,14,0,1286
Arkansas,2012,0,2191,0,0,0,3745,41851,19,0,1126
Arkansas,2013,0,2105,0,0,1,3506,48553,23,0,1306
Arkansas,2014,0,3286,0,0,2,5148,51246,23,0,1360
Arkansas,2015,0,3420,0,0,5,7798,48248,24,0,937
Arkansas,2016,0,3075,0,0,5,6698,46382,28,0,918
Arkansas,2017,0,3184,0,0,5,6725,48190,34,0,800
Arkansas,2018,0,3401,0,0,14,7317,56224,68,0,1029
Arkansas,2019,0,4001,0,0,16,7852,55846,173,0,998
Arizona,1969,0,1408,0,0,7,3490,26363,0,0,55
Arizona,1970,0,1281,0,0,69,3231,24045,0,0,57
Arizona,1971,0,1450,0,0,53,3536,27115,0,0,54
Arizona,1972,0,2239,0,0,40,4351,28339,0,0,52
Arizona,1973,0,2914,0,0,35,5640,33467,0,0,51
Arizona,1974,0,2816,0,0,89,5790,34775,0,0,53
Arizona,1975,0,2823,0,0,79,4948,34256,0,0,65
Arizona,1976,0,2792,0,0,164,5711,38553,0,0,71
Arizona,1977,0,3689,0,0,204,7913,35911,0,0,79
Arizona,1978,0,4188,0,0,174,7734,31504,0,0,77
Arizona,1979,0,2652,0,0,62,5136,28064,0,0,87
Arizona,1980,0,1633,0,0,0,3293,28740,0,0,217
Arizona,1981,0,349,0,0,102,2339,28209,0,0,284
Arizona,1982,17,134,0,0,68,3668,27517,0,0,278
Arizona,1983,0,1255,0,0,13,3158,25734,0,0,297
Arizona,1984,16,1472,0,0,12,3090,26472,0,0,323
Arizona,1985,15,2696,0,0,12,4491,26521,0,0,352
Arizona,1986,0,2252,0,0,108,4229,24968,0,0,396
Arizona,1987,2,2616,0,0,116,5811,28681,0,0,249
Arizona,1988,2,2632,0,0,4,4302,29261,0,0,274
Arizona,1989,0,2206,2,0,14,3795,29870,1,0,639
Arizona,1990,2,2655,2,0,14,4863,29319,1,0,898
Arizona,1991,5,1757,2,0,11,4744,28274,1,0,938
Arizona,1992,65,1499,2,0,4,4146,27935,1,0,989
Arizona,1993,17,1447,2,0,7,3355,28345,1,0,1165
Arizona,1994,2,2277,2,0,5,3383,30005,2,0,1115
Arizona,1995,96,2062,2,0,7,3314,29282,2,0,1126
Arizona,1996,3,3443,2,0,14,4528,29280,2,0,1169
Arizona,1997,3,3810,2,0,22,4803,30819,2,0,1619
Arizona,1998,7,6527,2,0,8,7846,32318,3,0,1414
Arizona,1999,1,5499,44,0,27,7270,31801,3,0,1487
Arizona,2000,1,5047,44,0,15,6620,32461,4,0,1592
Arizona,2001,11,4456,44,0,18,5974,31315,4,0,1000
Arizona,2002,13,4841,50,0,10,6374,32258,5,0,1024
Arizona,2003,13,2857,54,0,7,4454,32702,6,0,1066
Arizona,2004,16,2014,54,0,12,3301,33730,7,0,1042
Arizona,2005,24,2751,56,0,9,3848,32632,11,0,1339
Arizona,2006,14,2661,52,0,13,3691,33408,23,0,1242
Arizona,2007,13,3705,48,0,13,4763,33533,33,0,1319
Arizona,2008,0,7086,40,0,2,8961,33368,87,0,1392
Arizona,2009,0,5016,42,0,3,6420,32785,174,0,405
Arizona,2010,0,6928,42,0,4,8857,32479,592,0,400
Arizona,2011,0,6727,50,0,3,8816,33057,2164,0,385
Arizona,2012,0,6606,48,0,1,8508,32179,3161,0,337
Arizona,2013,0,5861,48,0,1,7974,33749,4078,0,391
Arizona,2014,0,5910,48,0,1,7877,31439,4812,0,407
Arizona,2015,0,6277,48,0,1,16963,31891,4886,0,573
Arizona,2016,0,5001,48,0,1,16466,35423,4552,0,574
Arizona,2017,0,5026,48,0,1,16626,32649,6070,0,564
Arizona,2018,0,4533,48,0,0,16218,33073,6769,0,650
Arizona,2019,0,3941,48,0,0,16716,35780,6909,0,790
California,1969,993,3559,0,0,2524,58287,221134,0,0,446
California,1970,1055,3825,0,0,2892,74766,221282,0,0,455
California,1971,35,4516,0,0,3072,80762,252628,0,0,465
California,1972,48,4924,0,0,3535,60904,243328,0,0,459
California,1973,0,5850,0,0,2313,65386,244510,0,0,431
California,1974,20,4162,0,0,3817,67341,241376,0,0,443
California,1975,0,3768,0,0,3685,46637,253678,0,0,521
California,1976,0,4810,0,0,3535,45451,231138,0,0,552
California,1977,0,5642,0,0,5369,52826,238970,0,0,623
California,1978,68,6016,0,0,5936,56818,232861,0,0,683
California,1979,67,8241,0,0,1378,53898,270890,0,0,802
California,1980,73,18785,0,0,1259,78007,269401,0,0,1315
California,1981,38,21745,0,0,3130,109938,247379,0,0,1572
California,1982,39,25613,0,0,1837,74736,247337,0,0,1346
California,1983,39,39899,0,0,644,59110,224734,0,0,1647
California,1984,637,46776,0,0,1297,69645,199093,0,0,1994
California,1985,974,19899,0,0,2000,37574,212934,0,0,2175
California,1986,0,33412,0,0,638,54097,189475,0,0,2447
California,1987,11,33967,0,0,953,60223,218444,0,0,3768
California,1988,113,34232,0,0,497,55952,255548,0,0,4157
California,1989,194,27198,308,0,234,48761,269368,129,0,9682
California,1990,465,23846,321,77,106,46302,294207,146,0,7997
California,1991,841,25793,328,77,131,47423,295187,164,0,8348
California,1992,4,13247,336,77,113,27006,292581,179,0,8805
California,1993,2700,13748,339,119,107,21182,259816,195,0,8032
California,1994,3282,13550,349,41,71,20601,267027,219,0,7691
California,1995,2693,18413,387,41,152,25490,281816,250,0,7763
California,1996,3628,14896,481,119,390,21304,243122,288,0,8064
California,1997,2232,14476,525,54,235,20214,258267,319,0,6293
California,1998,2426,15463,688,119,359,24567,298056,360,0,5497
California,1999,576,15975,538,108,163,23997,248298,420,0,5780
California,2000,500,18063,550,82,296,25786,235677,475,0,6186
California,2001,1,16515,646,0,357,22570,249600,582,0,6255
California,2002,1,12744,660,0,155,19159,242898,679,0,6406
California,2003,5,10453,706,9,268,20449,237552,789,0,6670
California,2004,168,9676,709,0,407,23307,236222,967,0,6521
California,2005,410,11451,735,54,333,22487,238473,1448,0,4153
California,2006,30,8594,682,73,307,17263,250003,1912,0,3853
California,2007,0,10606,630,132,175,19954,258379,2531,0,4092
California,2008,0,16453,532,0,79,27936,257986,3869,0,4318
California,2009,0,20282,552,3,116,29739,254462,4503,0,5266
California,2010,0,27279,556,65,189,37429,253329,5431,0,5199
California,2011,0,24180,659,45,144,34067,250867,6836,0,5005
California,2012,0,21730,634,26,48,31630,258277,9714,0,4384
California,2013,0,20122,634,50,43,29658,261502,10955,10,5081
California,2014,0,19282,634,39,51,30359,244411,13660,31,5294
California,2015,0,20982,634,32,47,79701,244468,14378,50,3225
California,2016,0,21149,634,113,78,83003,245346,16847,57,3647
California,2017,0,21509,634,175,57,84055,245783,22621,54,3675
California,2018,0,20776,634,99,45,85793,256345,30370,52,3330
California,2019,0,20026,634,120,46,86182,264692,33643,53,3912
Colorado,1969,3096,827,0,0,1117,5181,51577,0,0,71
Colorado,1970,2228,814,0,0,841,4660,57545,0,0,73
Colorado,1971,2492,951,0,0,586,4851,61172,0,0,73
Colorado,1972,2770,1059,0,0,480,5118,63166,0,0,74
Colorado,1973,2459,1214,0,0,437,5283,68476,0,0,76
Colorado,1974,1477,1432,0,0,295,4822,66911,0,0,76
Colorado,1975,308,1370,0,0,271,4651,68336,0,0,88
Colorado,1976,810,1382,0,0,279,4954,68466,0,0,93
Colorado,1977,1256,1410,0,0,271,4823,64454,0,0,104
Colorado,1978,3266,1403,0,0,327,5402,61534,0,0,130
Colorado,1979,3769,1616,0,0,187,3375,65855,0,0,162
Colorado,1980,1695,1972,0,0,34,4814,66598,0,0,229
Colorado,1981,1664,1813,0,0,51,4812,58636,0,0,300
Colorado,1982,2268,877,0,0,130,4246,67057,0,0,293
Colorado,1983,1454,4761,0,0,152,8336,65027,0,0,314
Colorado,1984,2200,4030,0,0,43,6861,72056,0,0,328
Colorado,1985,2582,3551,0,0,88,5524,68922,0,0,358
Colorado,1986,1744,2189,0,0,76,4655,61818,0,0,403
Colorado,1987,1335,4978,0,0,153,7146,64385,0,0,232
Colorado,1988,1611,5396,0,0,80,7366,68982,0,0,256
Colorado,1989,1081,2958,179,0,890,5843,68166,0,0,595
Colorado,1990,992,2576,179,0,55,5187,66489,0,0,800
Colorado,1991,1143,2772,179,0,60,5900,70965,0,0,835
Colorado,1992,1004,4016,179,0,38,6065,67702,0,0,881
Colorado,1993,675,3883,179,0,40,5322,72293,0,0,1020
Colorado,1994,430,5982,179,0,26,7482,65872,0,0,977
Colorado,1995,379,4089,179,0,26,5922,67585,1,0,986
Colorado,1996,259,4262,179,0,33,7118,69960,1,0,1024
Colorado,1997,1076,5192,179,0,28,5636,69708,1,0,1397
Colorado,1998,352,5048,179,0,49,5433,63528,1,0,1221
Colorado,1999,2024,4726,213,0,53,7032,59367,1,0,1284
Colorado,2000,1546,3521,220,0,43,6169,60753,1,0,1374
Colorado,2001,5810,3680,220,0,58,5761,65358,1,0,830
Colorado,2002,4513,2891,220,0,54,5000,67429,2,0,850
Colorado,2003,5404,1818,235,0,59,5050,63225,2,0,885
Colorado,2004,4489,1880,236,0,67,5060,62356,2,0,865
Colorado,2005,2720,3637,245,0,173,6546,63809,3,0,1096
Colorado,2006,1348,3817,227,0,93,5569,61661,6,0,1017
Colorado,2007,260,2585,210,0,26,4560,64973,11,0,1080
Colorado,2008,6970,2915,185,0,15,5404,66817,239,0,1140
Colorado,2009,6530,8266,192,0,22,10224,63362,372,0,1315
Colorado,2010,6055,5823,194,0,26,7963,58642,662,0,1298
Colorado,2011,3179,5853,230,0,19,8933,57579,1068,54,1250
Colorado,2012,240,4580,221,0,7,6784,53756,1343,52,1095
Colorado,2013,118,4390,221,67,10,6641,60782,1477,50,1269
Colorado,2014,151,4723,221,60,9,7342,60625,1776,2,1322
Colorado,2015,76,5152,221,60,6,14515,56980,1792,36,1714
Colorado,2016,34,3061,221,109,7,12758,57378,1934,11,1900
Colorado,2017,8,5123,221,128,2,15639,55874,2069,11,1958
Colorado,2018,0,4111,221,119,4,14246,59810,2136,1,1699
Colorado,2019,0,6149,221,118,6,17255,66666,2099,14,1922
Connecticut,1969,460,25600,0,0,109,33763,12634,0,0,108
Connecticut,1970,437,26944,0,0,104,35045,14732,0,0,116
Connecticut,1971,485,26418,0,0,103,33375,16330,0,0,113
Connecticut,1972,413,27923,0,0,126,35251,17277,0,0,117
Connecticut,1973,436,28191,0,0,84,35915,15651,0,0,111
Connecticut,1974,431,25937,0,0,61,32936,16442,0,0,116
Connecticut,1975,347,24505,0,0,58,31126,16008,0,0,126
Connecticut,1976,339,27428,0,0,54,35213,16828,0,0,140
Connecticut,1977,351,26803,0,0,47,34837,16981,0,0,155
Connecticut,1978,314,26903,0,0,41,35406,17160,0,0,188
Connecticut,1979,256,33866,0,0,40,39673,17027,0,0,210
Connecticut,1980,287,16924,0,0,40,26683,20596,0,0,548
Connecticut,1981,722,17085,0,0,62,24490,23338,0,0,485
Connecticut,1982,571,17325,0,0,6,24550,23749,0,0,415
Connecticut,1983,433,18848,0,0,386,30370,22906,0,0,508
Connecticut,1984,835,22168,0,0,566,36744,25497,0,0,338
Connecticut,1985,665,23074,0,0,362,35724,25327,0,0,369
Connecticut,1986,696,22891,0,0,380,34987,25453,0,0,415
Connecticut,1987,505,20872,0,0,633,31819,28436,0,0,344
Connecticut,1988,223,20163,0,0,377,31119,28288,0,0,380
Connecticut,1989,236,22193,0,0,821,34957,31834,0,0,885
Connecticut,1990,242,20275,0,0,291,29456,30390,0,0,1055
Connecticut,1991,269,20122,0,0,948,29281,27671,0,0,1102
Connecticut,1992,407,19936,0,0,256,35896,30666,0,0,1162
Connecticut,1993,257,15928,0,0,252,28644,32275,0,0,1483
Connecticut,1994,256,15984,0,0,291,27206,40302,1,0,1420
Connecticut,1995,518,17561,0,0,154,23173,39003,1,0,1434
Connecticut,1996,121,17217,0,0,407,26403,40927,1,0,1489
Connecticut,1997,160,17082,0,0,588,26662,43814,1,0,1303
Connecticut,1998,154,15307,0,0,996,23433,43433,1,0,1138
Connecticut,1999,123,15416,0,0,462,23063,48690,1,0,1196
Connecticut,2000,88,17359,0,0,672,25743,49855,1,0,1280
Connecticut,2001,90,19805,0,0,1307,25788,45401,1,0,1069
Connecticut,2002,89,16790,0,0,749,26122,41515,2,0,1095
Connecticut,2003,88,20955,0,0,707,38895,39774,2,0,1140
Connecticut,2004,91,20634,0,0,976,27235,36374,2,0,1115
Connecticut,2005,116,17503,0,0,1509,24395,36662,3,0,397
Connecticut,2006,84,15817,0,0,1026,20875,33524,5,0,369
Connecticut,2007,76,15082,0,0,192,19072,36823,28,0,392
Connecticut,2008,0,14190,0,0,176,18409,38438,107,0,413
Connecticut,2009,0,11442,0,0,96,15684,40656,178,0,833
Connecticut,2010,0,12047,0,0,46,15899,41689,196,0,822
Connecticut,2011,0,12299,0,0,51,16019,46067,192,0,792
Connecticut,2012,0,9944,0,0,8,12928,43677,234,0,693
Connecticut,2013,0,11213,0,0,5,14788,47324,401,0,856
Connecticut,2014,0,10796,0,0,38,14222,52643,646,0,900
Connecticut,2015,0,12616,0,0,10,20862,53855,843,0,1109
Connecticut,2016,0,8692,0,0,21,16541,51657,1198,0,940
Connecticut,2017,0,8240,0,0,36,14828,54014,1445,0,1018
Connecticut,2018,0,8700,0,0,17,16268,59939,1819,0,946
Connecticut,2019,0,7212,0,0,23,14900,59386,2014,0,969
District of Columbia,1969,841,6789,0,0,50,37576,10985,0,0,2
District of Columbia,1970,423,7619,0,0,58,39961,11820,0,0,2
District of Columbia,1971,373,5918,0,0,126,36050,12909,0,0,2
District of Columbia,1972,325,6035,0,0,44,28549,13843,0,0,2
District of Columbia,1973,384,6338,0,0,43,26657,13488,0,0,2
District of Columbia,1974,560,5939,0,0,24,18073,13515,0,0,2
District of Columbia,1975,245,5451,0,0,21,12489,12409,0,0,2
District of Columbia,1976,434,5582,0,0,13,10404,14424,0,0,3
District of Columbia,1977,0,5432,0,0,10,10639,13194,0,0,3
District of Columbia,1978,0,5329,0,0,9,9543,12618,0,0,4
District of Columbia,1979,0,3967,0,0,6,4845,16047,0,0,4
District of Columbia,1980,2113,3769,0,0,6,4218,13793,0,0,69
District of Columbia,1981,1893,1633,0,0,6,2367,15203,0,0,54
District of Columbia,1982,2543,2619,0,0,6,3609,16151,0,0,81
District of Columbia,1983,2554,5785,0,0,33,9131,16104,0,0,57
District of Columbia,1984,2004,6804,0,0,35,11894,11820,0,0,71
District of Columbia,1985,2721,4871,0,0,311,7126,12100,0,0,77
District of Columbia,1986,1047,6411,0,0,1,12958,12089,0,0,87
District of Columbia,1987,1341,4320,0,0,3,9609,14195,0,0,73
District of Columbia,1988,609,3649,0,0,24,5185,15177,0,0,81
District of Columbia,1989,1175,3496,0,0,271,4687,15898,0,0,188
District of Columbia,1990,1387,3470,0,0,43,5260,13581,0,0,126
District of Columbia,1991,1356,3959,0,0,23,5555,15644,0,0,132
District of Columbia,1992,1029,3731,0,0,24,5584,16216,0,0,139
District of Columbia,1993,1049,4970,0,0,25,6454,16343,0,0,231
District of Columbia,1994,994,5877,0,0,34,7312,14904,1,0,221
District of Columbia,1995,124,4829,0,0,729,6905,17137,1,0,223
District of Columbia,1996,506,5593,0,0,574,6876,16494,1,0,232
District of Columbia,1997,875,2944,0,0,1147,4565,18390,1,0,197
District of Columbia,1998,138,1852,0,0,1661,4429,17317,1,0,172
District of Columbia,1999,133,1950,0,0,1288,3368,18212,1,0,181
District of Columbia,2000,158,3266,0,0,1379,4932,18207,1,0,194
District of Columbia,2001,659,3151,0,0,1175,5652,16976,1,0,129
District of Columbia,2002,87,1721,0,0,2,4381,18772,2,0,132
District of Columbia,2003,150,2227,0,0,3,3497,17560,2,0,138
District of Columbia,2004,667,2662,0,0,4,3595,17854,2,0,135
District of Columbia,2005,864,2349,0,0,15,3646,18602,4,0,6
District of Columbia,2006,0,2022,0,0,15,2382,17535,13,0,5
District of Columbia,2007,452,1758,0,0,5,1891,19818,13,0,6
District of Columbia,2008,391,1164,0,0,0,1477,18927,18,0,6
District of Columbia,2009,331,1726,0,0,1,1888,19360,18,0,3
District of Columbia,2010,71,1046,0,0,1,2190,18807,60,0,3
District of Columbia,2011,48,675,0,0,2,2050,17160,163,0,3
District of Columbia,2012,77,736,0,0,0,783,15809,191,0,3
District of Columbia,2013,4,645,0,0,0,688,17751,192,0,3
District of Columbia,2014,48,574,0,0,0,612,18250,213,0,3
District of Columbia,2015,44,719,0,0,0,1040,17866,214,0,0
District of Columbia,2016,34,642,0,0,1,1025,16337,141,0,1
District of Columbia,2017,30,392,0,0,0,773,16666,270,0,1
District of Columbia,2018,37,547,0,0,0,939,17219,389,0,0
District of Columbia,2019,5,391,0,0,0,786,16689,448,0,0
Delaware,1969,84,4412,0,0,348,15555,2632,0,0,21
Delaware,1970,82,4574,0,0,291,16429,2860,0,0,20
Delaware,1971,91,4646,0,0,289,16388,3070,0,0,19
Delaware,1972,78,4998,0,0,267,16644,3267,0,0,20
Delaware,1973,82,4697,0,0,238,18089,3153,0,0,20
Delaware,1974,77,4387,0,0,194,12881,3235,0,0,21
Delaware,1975,65,4188,0,0,171,12591,3008,0,0,24
Delaware,1976,64,4636,0,0,178,14052,3133,0,0,27
Delaware,1977,66,4536,0,0,120,15323,2881,0,0,30
Delaware,1978,59,4023,0,0,105,12134,3089,0,0,37
Delaware,1979,48,3316,0,0,210,17599,2922,0,0,43
Delaware,1980,73,3693,0,0,51,31268,3353,0,0,60
Delaware,1981,58,3684,0,0,45,16899,3915,0,0,47
Delaware,1982,244,2410,0,0,68,10906,3695,0,0,70
